1358442177116, 2013-01-17, 18:02:57:116, [wp_site:SCM Lab; wp_post:1; user:krejcar.zbynek], 95.91.115.12, seek_start: 26.518627166748047   26.26, Mozilla/5.0 (Windows NT 6.2, WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358615213349, 2013-01-19, 18:06:53:349, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, seek_start: 869.135147   869.02, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615213434, 2013-01-19, 18:06:53:434, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 941.65, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615215773, 2013-01-19, 18:06:55:773, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, seek_start: 943.901315   943.87, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615215908, 2013-01-19, 18:06:55:908, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 915.03, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615249123, 2013-01-19, 18:07:29:123, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, [add_annotation; content:Lower Bound Alg.; time:941.369591], Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615253913, 2013-01-19, 18:07:33:913, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, seek_start: 946.169886   945.97, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615254018, 2013-01-19, 18:07:34:18, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 1653.71, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615263242, 2013-01-19, 18:07:43:242, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, seek_start: 1662.93551   1662.83, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615263378, 2013-01-19, 18:07:43:378, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 951.63, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615265051, 2013-01-19, 18:07:45:51, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, seek_start: 953.135056   953.1, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615265173, 2013-01-19, 18:07:45:173, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 1660.36, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615269137, 2013-01-19, 18:07:49:137, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, seek_start: 1664.735691   1664.53, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615269249, 2013-01-19, 18:07:49:249, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 1597.14, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615271257, 2013-01-19, 18:07:51:257, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, seek_start: 1599.602358   1599.36, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615271344, 2013-01-19, 18:07:51:344, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 1660.36, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615278405, 2013-01-19, 18:07:58:405, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, seek_start: 1667.828299   1667.73, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615278512, 2013-01-19, 18:07:58:512, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 1680.33, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615279104, 2013-01-19, 18:07:59:104, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, seek_start: 1681.201904   1681.02, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615279203, 2013-01-19, 18:07:59:203, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 1693.63, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615279583, 2013-01-19, 18:07:59:583, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, seek_start: 1694.169977   1694.1, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615279683, 2013-01-19, 18:07:59:683, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 1716.93, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615294281, 2013-01-19, 18:08:14:281, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, [add_annotation; content:The Upper Bound Alg.; time:1725.134126], Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615303311, 2013-01-19, 18:08:23:311, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, seek_start: 1725.200884   1725.2, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615303470, 2013-01-19, 18:08:23:470, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 1776.82, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615304304, 2013-01-19, 18:08:24:304, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, seek_start: 1777.602448   1777.6, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615304406, 2013-01-19, 18:08:24:406, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 1810.09, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615307031, 2013-01-19, 18:08:27:31, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, seek_start: 1813.367165   1813.2, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615307131, 2013-01-19, 18:08:27:131, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 1833.38, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615307841, 2013-01-19, 18:08:27:841, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, seek_start: 1834.201904   1834.02, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615307935, 2013-01-19, 18:08:27:935, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 1869.99, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615333921, 2013-01-19, 18:08:53:921, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, [add_annotation; content:The Nearest Neighbour Alg.II; time:1888.369455], Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615337062, 2013-01-19, 18:08:57:62, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, seek_start: 1888.43331   1888.43, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615337173, 2013-01-19, 18:08:57:173, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 1939.86, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615338032, 2013-01-19, 18:08:58:32, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, seek_start: 1940.402176   1940.27, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615338155, 2013-01-19, 18:08:58:155, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 1969.81, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615338656, 2013-01-19, 18:08:58:656, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, seek_start: 1970.236734   1970.03, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615338775, 2013-01-19, 18:08:58:775, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 2013.06, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615340160, 2013-01-19, 18:09:00:160, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, seek_start: 2015.001541   2014.83, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615340271, 2013-01-19, 18:09:00:271, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 2029.7, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615341456, 2013-01-19, 18:09:01:456, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, seek_start: 2030.863673   2030.8, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615341584, 2013-01-19, 18:09:01:584, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 2003.08, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615370902, 2013-01-19, 18:09:30:902, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, [add_annotation; content:The Lower Bound Alg.II; time:2023.102766], Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615376681, 2013-01-19, 18:09:36:681, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, seek_start: 2028.935759   2028.8, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615376759, 2013-01-19, 18:09:36:759, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 2112.88, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615377392, 2013-01-19, 18:09:37:392, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, seek_start: 2113.303492   2113.3, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615377495, 2013-01-19, 18:09:37:495, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 2129.52, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615378439, 2013-01-19, 18:09:38:439, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, seek_start: 2130.634376   2130.56, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615378535, 2013-01-19, 18:09:38:535, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 2156.14, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615396162, 2013-01-19, 18:09:56:162, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, [add_annotation; content:Tour Improvement II.; time:2166.07009], Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615399407, 2013-01-19, 18:09:59:407, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, seek_start: 2166.168775   2166.17, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615399478, 2013-01-19, 18:09:59:478, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 2255.96, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615400079, 2013-01-19, 18:10:00:79, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, seek_start: 2256.233832   2256.01, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615400127, 2013-01-19, 18:10:00:127, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 2385.73, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615438202, 2013-01-19, 18:10:38:202, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, [add_annotation; content:End :-); time:2419.53551], Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615455564, 2013-01-19, 18:10:55:564, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, [add_annotation; content:End :-); time:2419.634195], Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615476792, 2013-01-19, 18:11:16:792, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, seek_start: 2428.985   2428.985, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615476934, 2013-01-19, 18:11:16:934, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 141.46.229.53, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 3.33, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615561533, 2013-01-19, 18:12:41:533, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, seek_start: 0   0, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615561626, 2013-01-19, 18:12:41:626, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 1304.33, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615563002, 2013-01-19, 18:12:43:2, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, seek_start: 1.245351   1.07, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615563118, 2013-01-19, 18:12:43:118, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 1147.94, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615563496, 2013-01-19, 18:12:43:496, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, seek_start: 1.701043   1.61, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615563602, 2013-01-19, 18:12:43:602, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 984.9, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615564936, 2013-01-19, 18:12:44:936, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, seek_start: 985.306394   985.28, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615565048, 2013-01-19, 18:12:45:48, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 1154.6, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615565782, 2013-01-19, 18:12:45:782, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, seek_start: 1155   1155, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615565789, 2013-01-19, 18:12:45:789, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 1414.14, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615567345, 2013-01-19, 18:12:47:345, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, seek_start: 1416.074104   1416.01, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615567455, 2013-01-19, 18:12:47:455, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 1716.93, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615586601, 2013-01-19, 18:13:06:601, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, seek_start: 1735.644353   1735.54, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615586698, 2013-01-19, 18:13:06:698, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 1044.8, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615588746, 2013-01-19, 18:13:08:746, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, seek_start: 1046.844716   1046.7, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615588860, 2013-01-19, 18:13:08:860, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 974.92, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615589929, 2013-01-19, 18:13:09:929, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, seek_start: 975.669206   975.54, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615590031, 2013-01-19, 18:13:10:31, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 815.21, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615590808, 2013-01-19, 18:13:10:808, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, seek_start: 816.407981   816.27, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615590895, 2013-01-19, 18:13:10:895, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 771.95, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615591343, 2013-01-19, 18:13:11:343, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, seek_start: 772.172879   772.03, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615591439, 2013-01-19, 18:13:11:439, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 738.68, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615617887, 2013-01-19, 18:13:37:887, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, [add_annotation; content:Nearest Neighbour Alg.; time:757.475827], Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615619112, 2013-01-19, 18:13:39:112, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, seek_start: 758.740136   758.63, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615619206, 2013-01-19, 18:13:39:206, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 1201.18, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615619880, 2013-01-19, 18:13:39:880, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, seek_start: 1202.177233   1202.04, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615619974, 2013-01-19, 18:13:39:974, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 662.15, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615627192, 2013-01-19, 18:13:47:192, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, seek_start: 666.313378   666.31, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615627294, 2013-01-19, 18:13:47:294, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 948.3, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615631631, 2013-01-19, 18:13:51:631, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, seek_start: 953.009977   952.95, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615631753, 2013-01-19, 18:13:51:753, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 1683.65, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615632406, 2013-01-19, 18:13:52:406, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, seek_start: 1684.175782   1684.01, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615632502, 2013-01-19, 18:13:52:502, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 1653.71, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615633422, 2013-01-19, 18:13:53:422, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, seek_start: 1654.641632   1654.54, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615633805, 2013-01-19, 18:13:53:805, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 1640.9, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615651338, 2013-01-19, 18:14:11:338, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, [add_annotation; content:Hamiltonian Cycle II; time:1647.767913], Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615654609, 2013-01-19, 18:14:14:609, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, seek_start: 1651.073333   1650.93, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615654703, 2013-01-19, 18:14:14:703, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 685.44, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615658375, 2013-01-19, 18:14:18:375, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, seek_start: 688.967981   688.94, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615658471, 2013-01-19, 18:14:18:471, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 349.37, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615676743, 2013-01-19, 18:14:36:743, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, seek_start: 1638.975192   1638.94, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615676821, 2013-01-19, 18:14:36:821, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 1011.52, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615677414, 2013-01-19, 18:14:37:414, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, seek_start: 1012.373151   1012.34, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615677470, 2013-01-19, 18:14:37:470, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 1054.78, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
1358615677750, 2013-01-19, 18:14:37:750, [wp_site:SCM Lab; wp_post:1; user:dziewa.martin], 141.46.229.58, seek_start: 1055   1055, Mozilla/5.0 (Windows NT 5.1, rv:16.0) Gecko/20100101 Firefox/16.0
